"elem_id","elem_codigo","elem_descripcion","elpr_precio"
911,"023203","POSTE MET. 4*10 MT +CRUCETA DE 1.50M",NULL
133,"023204","CANDADO YALE 840",NULL
912,"023205","POSTE MET. 13 MTS DOBLE BRAZO",NULL
913,"023206","POSTE MET. 11 MTS DOBLE BRAZO",NULL
248,"023207","LAMINA ALUMINIO 100*0.60 MT",NULL
914,"023208","PUNTILLAS DE 2.1/2",NULL
915,"023209","ARMANTE HEXAGONAL EN ANGULO 2*1/4",NULL
191,"023210","CONECTOR RECTO CORAZA 1.1/2",NULL
275,"023211","MANGUERA CORAZA 1.1/2",NULL
277,"023212","MANGUERA CORAZA DE 1/2",NULL
192,"023213","CONECTOR RECTO CORAZA DE 1/2",NULL
282,"023214","MEDIDOR TRIFILAR 15-60 AMP",NULL
916,"023215","TAPAS CUADRADAS CON EMPAQUE",NULL
917,"023216","CAPACETE DE 1.1/2",NULL
278,"023217","MANGUERA CORAZA DE 2",NULL
182,"023218","CONECTOR CORAZA DE 2",NULL
918,"023219","MEDIDOR TRIFASICO 25/100 AMP",NULL
919,"023220","CARCAZA MARCELLA SODIO 70W",NULL
920,"023221","REMACHES DE 3/16*1",NULL
921,"023222","CAJA DE PASO CPA EN E 1/2",NULL
276,"023223","MANGUERA CORAZA DE 1",NULL
181,"023224","CONECTOR CORAZA DE 1",NULL
922,"023225","CA¥UELA FUSIBLE DE 15 KV",NULL
923,"023226","MARCO CON TAPA DE 40*40 CMS",NULL
924,"023227","CHAZO MET. EXPANSION 5/16*4",NULL
925,"023228","PRISIONEROS 3/8",NULL
926,"023229","ARANDELAS GALV. 9/16",NULL
927,"023230","JUEGO DE DIAGONALES Y COLLARINES",NULL
928,"023231","TORNILLOS GALV. 7/16*1",NULL
929,"023232","PRISIONEROS 3/8*1.1/2",NULL
930,"023233","PERCHA GALV. DE 4 PTOS",NULL
931,"023234","CABLE UTP 5E",NULL
932,"023235","PLUS RJ 45",NULL
933,"023236","POSTE MET. 4*9 MTS DOBLE BRAZO",NULL
934,"023237","BRILLA METAL",NULL
935,"023238","LIJA NO.400",NULL
936,"023239","CRUCETAS GALV. 2*2*1/4*2 MTS+ DIAG.",NULL
212,"023240","ESPICO PIN 13.2 KV",NULL
38,"023241","AISLADOR PIN 15 KV",NULL
937,"023242","CRUCETAS GALV.3*3*1/4*2.5MT",NULL
938,"023243","DIAGONALES EN ANGULO",NULL
939,"023244","AMARRES PLASTICOS DE 30 CMS",NULL
940,"023245","CRUCETAS GALV. 2*2*1/4*2.5 M+DIAGONALES",NULL
941,"023246","VIDRIO TEMPLADO DE 50 CMS DIAM.",NULL
252,"023247","LIJA N. 120",NULL
942,"023248","TERMINAL SOLDAR DE 70 AMP",NULL
137,"023249","CARCAZA VENUS E27",NULL
943,"023250","AISLADOR SUSPENSION AXUS 13.2 KV",NULL
39,"023251","AISLADOR TENSOR 4.1/4",NULL
